"INDEX","KEYVALUE.x","LABEL.x","RED.x","GREEN.x","BLUE.x","ALPHA.x","HEMISPHERE.x","NETWORK.x","NETWORKKEY.x","NETWORKSORTEDORDER.x","GLASSERLABELNAME.x","KEYVALUE.y","LABEL.y","RED.y","GREEN.y","BLUE.y","ALPHA.y","HEMISPHERE.y","NETWORK.y","NETWORKKEY.y","NETWORKSORTEDORDER.y","GLASSERLABELNAME.y","netho_diff_beta","netho_diff_t","netho_diff_para_p","netho_diff_para_q","netho_diff_beta_parasig","parcel_hc_mean","parcel_hc_sd","parcel_pt_mean","parcel_pt_sd"
1,1,"Visual1-04_L-Ctx",0,0,255,255,"L","Visual1",1,1,"L_V1_ROI",1,"Visual1-04_L-Ctx",0,0,255,255,"L","Visual1",1,1,"L_V1_ROI",-0.315206957559236,-2.76042896135255,0.00614163329437575,0.0579114076172891,NA,0.375770018626688,0.150157732492088,0.321114537759961,0.142077661418841
2,2,"Visual2-28_L-Ctx",100,0,255,255,"L","Visual2",2,70,"L_MST_ROI",2,"Visual2-28_L-Ctx",100,0,255,255,"L","Visual2",2,70,"L_MST_ROI",-0.018996915488578,-0.152551155102386,0.87885869607945,0.958023067176683,NA,0.740682105254749,0.238251699641147,0.725016430191231,0.25327410290334
3,3,"Visual2-29_L-Ctx",100,0,255,255,"L","Visual2",2,71,"L_V6_ROI",3,"Visual2-29_L-Ctx",100,0,255,255,"L","Visual2",2,71,"L_V6_ROI",-0.133479448184399,-1.13843680842171,0.255880970893832,0.540072583167145,NA,0.731991799182381,0.216781307212977,0.685974168791789,0.215077878903261
4,4,"Visual2-30_L-Ctx",100,0,255,255,"L","Visual2",2,72,"L_V2_ROI",4,"Visual2-30_L-Ctx",100,0,255,255,"L","Visual2",2,72,"L_V2_ROI",-0.115337635400316,-0.987684725307229,0.324133263078683,0.617149732901812,NA,0.285314149542738,0.11862670233545,0.264058667197296,0.116727683330449
5,5,"Visual2-31_L-Ctx",100,0,255,255,"L","Visual2",2,73,"L_V3_ROI",5,"Visual2-31_L-Ctx",100,0,255,255,"L","Visual2",2,73,"L_V3_ROI",0.22886050096831,1.85318742461153,0.0648746475200794,0.242515698059355,NA,0.322436595814732,0.12108706562432,0.340221394562411,0.132313191635148
6,6,"Visual2-32_L-Ctx",100,0,255,255,"L","Visual2",2,74,"L_V4_ROI",6,"Visual2-32_L-Ctx",100,0,255,255,"L","Visual2",2,74,"L_V4_ROI",0.437829720040145,3.53887115134557,0.000468075854813395,0.0115243503564401,0.437829720040145,0.438005481350843,0.173289446702075,0.494020631483662,0.196768549366604
7,7,"Visual2-33_L-Ctx",100,0,255,255,"L","Visual2",2,75,"L_V8_ROI",7,"Visual2-33_L-Ctx",100,0,255,255,"L","Visual2",2,75,"L_V8_ROI",0.29992965494357,2.55303341068401,0.0111928222259416,0.0887963896591368,NA,0.719795544112365,0.239002171124362,0.76285166454336,0.250387411263213
8,8,"Somatomotor-21_L-Ctx",0,255,255,255,"L","Somatomotor",3,153,"L_4_ROI",8,"Somatomotor-21_L-Ctx",0,255,255,255,"L","Somatomotor",3,153,"L_4_ROI",-0.325380664772441,-2.69171132869334,0.00752305318716179,0.0655056094589453,NA,0.276415536445235,0.100530270279424,0.240442146661949,0.101373109522672
9,9,"Somatomotor-22_L-Ctx",0,255,255,255,"L","Somatomotor",3,154,"L_3b_ROI",9,"Somatomotor-22_L-Ctx",0,255,255,255,"L","Somatomotor",3,154,"L_3b_ROI",0.0429939922843818,0.337473406148987,0.736005034075002,0.909659281114737,NA,0.354003317693329,0.123673340698207,0.35701764927456,0.134476131401966
10,10,"Cingulo-Opercular-30_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,220,"L_FEF_ROI",10,"Cingulo-Opercular-30_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,220,"L_FEF_ROI",0.224877115406548,1.73116798071216,0.084489059698222,0.283612233732916,NA,0.471971996089186,0.150458912057535,0.497424091090553,0.170494158660561
11,11,"Dorsal-Attention-12_L-Ctx",0,255,0,255,"L","Dorsal-Attention",5,315,"L_PEF_ROI",11,"Dorsal-Attention-12_L-Ctx",0,255,0,255,"L","Dorsal-Attention",5,315,"L_PEF_ROI",0.041161257581944,0.353870736498999,0.723693785960787,0.908752018845735,NA,0.761222329572589,0.227532789442352,0.754915915016202,0.218920340309022
12,12,"Language-10_L-Ctx",0,155,155,255,"L","Language",6,362,"L_55b_ROI",12,"Language-10_L-Ctx",0,155,155,255,"L","Language",6,362,"L_55b_ROI",-0.0645475981599539,-0.523738895201451,0.600861549435975,0.845000979743957,NA,0.440182898942232,0.162450161183987,0.426404606315161,0.169931066146048
13,13,"Visual2-34_L-Ctx",100,0,255,255,"L","Visual2",2,76,"L_V3A_ROI",13,"Visual2-34_L-Ctx",100,0,255,255,"L","Visual2",2,76,"L_V3A_ROI",0.0809343980197083,0.69611718638759,0.48691489093426,0.757423163675516,NA,0.768735596315945,0.230903807307607,0.756097004011663,0.242652010303439
14,14,"Frontoparietal-29_L-Ctx",255,255,0,255,"L","Frontoparietal",7,399,"L_RSC_ROI",14,"Frontoparietal-29_L-Ctx",255,255,0,255,"L","Frontoparietal",7,399,"L_RSC_ROI",-0.382951979292634,-3.42490053823673,0.000704120864275763,0.0150163850586585,-0.382951979292634,0.534583737462568,0.15264463122296,0.464313403547653,0.139821653982536
