"INDEX","KEYVALUE","LABEL","RED","GREEN","BLUE","ALPHA","HEMISPHERE","NETWORK","NETWORKKEY","NETWORKSORTEDORDER","GLASSERLABELNAME","rsfa_diff_beta","rsfa_diff_t","rsfa_diff_para_p","rsfa_diff_para_q","rsfa_diff_beta_parasig","parcel_hc_mean","parcel_hc_sd","parcel_pt_mean","parcel_pt_sd"
1,1,"Visual1-04_L-Ctx",0,0,255,255,"L","Visual1",1,1,"L_V1_ROI",-0.111672095020168,-0.964218734416721,0.335742392863497,0.521321654469711,NA,18.9299826613998,8.16252527122775,18.3839095794919,7.74894744481497
2,2,"Visual2-28_L-Ctx",100,0,255,255,"L","Visual2",2,70,"L_MST_ROI",0.0170093422382238,0.143814215053709,0.885747406294009,0.931063821812843,NA,19.1198100890828,8.18697236872523,19.7163085800365,8.14939829180084
3,3,"Visual2-29_L-Ctx",100,0,255,255,"L","Visual2",2,71,"L_V6_ROI",0.0622259748024416,0.520504163197854,0.60311075425742,0.747899000961705,NA,20.6596516167931,8.27580844230359,21.3512179687401,8.26573626926467
4,4,"Visual2-30_L-Ctx",100,0,255,255,"L","Visual2",2,72,"L_V2_ROI",0.0497342254916104,0.401503040789545,0.68834652854308,0.806101013823846,NA,15.4689040753279,6.10783738548815,15.9988071434835,6.68615262272579
5,5,"Visual2-31_L-Ctx",100,0,255,255,"L","Visual2",2,73,"L_V3_ROI",0.292704357842482,2.25565558004792,0.0248399883309862,0.0938690085349899,NA,16.0050089196713,5.50530838652232,17.8094311662319,6.65337642712557
6,6,"Visual2-32_L-Ctx",100,0,255,255,"L","Visual2",2,74,"L_V4_ROI",0.39187256696743,2.99814518698869,0.00295240146282018,0.0207825906892636,0.39187256696743,18.3336599158672,6.94131638019584,21.0622649807846,7.96744626311376
7,7,"Visual2-33_L-Ctx",100,0,255,255,"L","Visual2",2,75,"L_V8_ROI",0.271143534888502,2.10819903077979,0.0358745240990856,0.119132162557442,NA,19.9461775727601,6.98588092193764,22.0963823267453,8.06597007861127
8,8,"Somatomotor-21_L-Ctx",0,255,255,255,"L","Somatomotor",3,153,"L_4_ROI",-0.0701839849425728,-0.574980864780128,0.565751584907927,0.716341013875824,NA,11.1813370606521,4.10224482233717,11.1361906475251,4.33770073610915
9,9,"Somatomotor-22_L-Ctx",0,255,255,255,"L","Somatomotor",3,154,"L_3b_ROI",0.106344423283752,0.906943190994194,0.365192413569161,0.546266985297203,NA,14.2502804123796,5.91985715997874,15.5042144258856,6.23641291765729
10,10,"Cingulo-Opercular-30_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,220,"L_FEF_ROI",0.0468690287517864,0.40099092418498,0.688723112233068,0.806101013823846,NA,14.2321641291871,4.93495975941637,14.6986355828051,4.70148196494908
11,11,"Dorsal-Attention-12_L-Ctx",0,255,0,255,"L","Dorsal-Attention",5,315,"L_PEF_ROI",-0.0274120915048857,-0.251191931267852,0.801844232248209,0.865750614667991,NA,20.25605898069,7.36607144046249,20.268343655991,6.24634146086814
12,12,"Language-10_L-Ctx",0,155,155,255,"L","Language",6,362,"L_55b_ROI",-0.102219642415483,-0.851690674357976,0.395090980252929,0.569629164300408,NA,15.4344658639761,5.31769233614779,15.2235093808557,5.38135472982161
13,13,"Visual2-34_L-Ctx",100,0,255,255,"L","Visual2",2,76,"L_V3A_ROI",0.0163653008482988,0.142259133557233,0.886974448635076,0.931063821812843,NA,24.7223846490114,9.80715331690928,24.9867522338376,9.92623054360349
14,14,"Frontoparietal-29_L-Ctx",255,255,0,255,"L","Frontoparietal",7,399,"L_RSC_ROI",-0.475437208290075,-4.40175528741518,1.51278658855355e-05,0.000724120513720964,-0.475437208290075,20.8046199855199,5.83655894680435,17.9737359352278,4.85370027877779
