"","G1.fMRI","T1T2ratio","Evolution.Expansion","CBF","Cortical.Thickness","PC1.AHBA","PC1.Neurosynth","cbv","cmr02","cmruglu","devexp","intersubjvar","meg_alpha","meg_beta","meg_delta","meg_gamma1","meg_gamma2","meg_theta","scalingnih","scalingpnc"
"V1",-2.972374845,1.546116691,-1.726372488,59.0596163,1.946323365,-16.17552037,5.313402818,6657.50921513031,6121.7909816904,7083.59782026725,-0.0902618663624184,0.553088371127729,0.387499141532022,0.0815902312922662,0.287871732790037,0.0165927525983699,0.00920731056316191,0.217238829978184,0.812613089342375,0.741974546872511
"MST",-4.104730087,1.498078728,0.425740897,65.50368981,2.386512889,-4.576881218,-10.91652637,5650.44416610054,5283.86767578125,6379.3127122962,-0.00243208637799729,0.640286782513494,0.370309986498045,0.0848590751057086,0.285532250352528,0.0164391108505104,0.00943246034338422,0.233427122235298,1.08139252662659,1.16951442283133
"V6",-4.465321892,1.506699605,-1.23317759,56.30642427,2.119732102,-12.95819324,1.154318187,6074.25087298769,5595.35606060606,6720.49641927083,-0.123957376927137,0.605775098005931,0.41952526027506,0.0919023167454835,0.253738820101276,0.0164204457436096,0.00787812258314454,0.210535023248557,1.05154594688705,1.03185017723026
"V2",-3.68021356,1.508880602,-1.404348526,59.30634295,2.028844171,-14.21235625,1.154318187,6371.10760216346,5839.99915614984,6843.11858974359,-0.107751993030279,0.559176523868854,0.388080193599065,0.0833106820782026,0.285258119763472,0.017343266432484,0.00976090651387588,0.216246831417084,0.903610507035867,0.849055991111658
"V3",-3.76028501,1.480787196,-1.184210078,58.10154586,2.185817791,-13.49744777,1.154318187,6026.4693003509,5522.40835623014,6687.56363794359,-0.0643504372809172,0.567872531333212,0.39333011487783,0.0848331214007685,0.281967382436081,0.0179447478504252,0.0100631143589962,0.211861517469762,0.991014038102101,0.986730371996508
"V4",-3.996609343,1.458808479,-0.985882,56.8548388,2.270075904,-7.817285816,9.472487448,5747.34276336985,5326.70840045103,6537.14373087146,-0.0429942498116621,0.570598892329894,0.381189179174679,0.0848697912447231,0.288720638788853,0.0183977740288702,0.0104745987457098,0.216348018074773,0.964568375926657,1.0769556115583
"V8",-4.249206165,1.43834413,-1.471324348,50.86276892,2.647230513,-7.918726251,16.38000802,6035.16007915296,5551.38833778783,6568.71921258224,-0.176784098487009,0.576431584985633,0.372661160795312,0.082173212970558,0.295269079898533,0.0182122689132628,0.010788700543344,0.220895590750795,1.07064619189815,1.05639917599527
"4",-5.046522121,1.619256505,-0.292924653,54.27478921,2.714827562,-8.675091728,-26.29931758,6129.06120968248,5340.12449995294,6681.03450324736,-0.0054290108873378,0.566241325384163,0.281504143253866,0.123814848412472,0.291530451621396,0.0237352374611969,0.00920223057584231,0.27021308680136,0.882362157226088,0.918325344242724
"3b",-5.042306568,1.542989769,0.381761774,60.56327932,1.77471346,-11.42885518,-26.29931758,6278.98848783053,5538.37429708963,6809.91745900584,0.0243773866562679,0.560846316290426,0.307002324979384,0.125195178356799,0.277863844246655,0.0226242308208084,0.00903461574689372,0.258279805982506,0.879779948310538,0.975903596196856
"FEF",-2.514140036,1.379289414,0.473475374,69.12178123,2.59206866,0.522845308,-34.24741033,6246.66790545428,5446.07819733796,6962.50152813947,0.102520483277308,0.62706529211115,0.246468830991674,0.117970997122703,0.312634280986256,0.0236090840081926,0.00955086499797525,0.289765943531637,1.14047301257098,1.04562759509793
"PEF",-1.490084826,1.333456301,0.328800611,71.63632261,2.547461434,-1.360551369,-18.16523946,6226.52522786458,5340.90877278646,7066.21736653646,0.233369543696895,0.627628249426683,0.231461523721615,0.112133438078066,0.330186390628417,0.0240518768162777,0.0115521748084575,0.290614597499371,1.10583852231503,1.29544954498609
"55b",0.339662595,1.327031631,0.352634066,73.80805539,2.782218596,-1.770786318,-25.45244708,6067.84718048878,5244.3535531851,6857.30929487179,0.232066367511396,0.629522591065138,0.238463108356182,0.113966349034737,0.321369619705738,0.0243145658228642,0.0114043397017014,0.290482021295107,1.00859027795303,1.03441815498548
"V3A",-4.445568351,1.495011318,-0.815179573,59.02908699,2.116969061,-12.80032321,9.472487448,5768.03195672286,5319.1976511102,6502.96502364309,-0.0834550649600311,0.574843001993079,0.426673522121028,0.0883517328061556,0.253807094144194,0.016923762710863,0.00881547006582351,0.205428419536666,0.814838807833822,0.963766695637452
"RSC",2.112520764,1.530769746,-0.424497868,59.40658947,2.220173347,-2.435055422,15.90270653,6215.85596421186,5050.02277688419,6623.0454604205,0.0230261455031319,0.578784557826379,0.290659898782478,0.100344113567296,0.306594908675727,0.0249543307787355,0.0141491659999113,0.248591702650575,0.839711733600673,0.910516295362921
"POS2",2.699955953,1.392777109,-0.793220963,61.74554021,2.353252832,-8.459015843,30.65109486,6647.58854166667,5808.44708333333,7749.21565104167,-0.111718922765449,0.609030318260193,0.399698641697566,0.0985646189252535,0.256404789288839,0.0176222215592861,0.00811597134297093,0.219593749841054,1.04081245660782,1.06659126202265
"V7",-4.40788631,1.487759272,-0.370312222,58.71372977,2.255370215,-14.60482654,-7.024108335,5936.44371202257,5409.09627278646,6948.66300455729,-0.137461935611148,0.591637432575226,0.414301839139726,0.093771115773254,0.254304745958911,0.0171435508463118,0.00855610421341326,0.211922634806898,0.815492285622491,1.07390442490578
"IPS1",-3.540225154,1.392684425,-0.554610606,57.25839256,2.213353659,-7.155812001,-12.46475727,5984.1719771984,5376.9704987282,7080.77807049419,-0.0632919828811496,0.608815981898197,0.392161893290143,0.101508692773276,0.258014469992283,0.0175876066435215,0.00819925453817082,0.222528081993724,0.931228510169096,1.0051393938619
"FFC",-2.967863044,1.360470332,-0.04108409,54.66642998,2.831108957,-1.670216714,20.25503125,5751.07954738451,5294.03431768003,6200.04363748302,-0.0969931822157754,0.60678407938584,0.342960874023645,0.0823265124598275,0.307111132404079,0.0186107385822612,0.0120087495154661,0.236981987953186,1.12465018293132,0.998920162086901
"V3B",-4.231006294,1.454751214,-0.475750962,55.98511528,2.218669691,-8.663214794,-2.06131302,5696.94257387908,5372.11442764946,6792.63387398098,0.00378480515675619,0.595318763152413,0.402166172214176,0.0895532959181329,0.267355841139089,0.01601065326806,0.00773243525105974,0.217181600954222,0.9111273781113,1.08892559486887
"LO1",-4.141856543,1.420365624,-0.411190825,61.55334465,2.318196767,-13.81189758,4.584548859,5333.61877441406,5163.72548828125,6341.84047851563,0.0431239974739797,0.589900967478752,0.381475266814232,0.0862496379762888,0.282703870534897,0.018437672033906,0.0104706491343677,0.220662909001112,0.895323532819748,1.15305549502373
"LO2",-4.034440005,1.393680712,-0.653367765,61.3322119,2.629575435,-19.30229779,3.596187333,5241.03443545387,4913.36765252976,6090.39360119048,0.0232803675268466,0.587361259119851,0.37249691713424,0.0836562184350831,0.289442691065016,0.0195495828631378,0.0120652997866273,0.222789288276718,1.01148523035504,1.04685910542806
"PIT",-3.958413729,1.381808308,-1.10822141,54.55415618,2.640393229,-4.378544313,16.66468667,5649.11075846354,5196.64569769965,6251.00254991319,-0.00816804479638284,0.577624258067873,0.372774837745561,0.0830383851296372,0.290929928421974,0.0199206006816692,0.0123642270660235,0.220972021420797,1.05149496263928,1.04125191105737
"MT",-4.090590106,1.499507478,0.234013755,65.83505095,2.443003515,0,-12.91631332,5643.23759191176,5344.2328527114,6450.39815027574,-0.0607158995699137,0.610920432735892,0.375695270650527,0.0850358776309911,0.283233367344912,0.0163316771607189,0.0091379550011719,0.230565845966339,1.01426336344551,1.06127301384421
"A1",-3.761145464,1.747352905,0.468389245,83.93649567,2.655938883,-11.00863871,-28.17119072,6740.49051920573,5813.26208496094,7125.90506998698,-0.30213901731703,0.59311804920435,0.324556281169256,0.0890238837649425,0.310745891183615,0.0170509649518256,0.00928859102229277,0.249334392448266,1.08020694802205,1.12942326317231
"PSL",-0.285388619,1.266078398,1.403843728,68.49900843,2.789908807,-1.964466934,-23.31703146,5826.40496020047,5165.10402233196,6235.3870780513,-0.05033607705479,0.650226956268526,0.33668907520906,0.0991685394689722,0.286431960902124,0.0182110666174371,0.010336235727904,0.249163123234263,1.24025290192298,1.33782923896358
