"","CBF","cbv","cmr02","cmruglu","G1.fMRI","intersubjvar","meg_alpha","meg_beta","meg_delta","meg_gamma1","meg_gamma2","meg_theta"
"lh_V1",6657.50921513031,7445.04907697876,6121.7909816904,7083.59782026725,-2.90961319241946,0.553088371127729,0.387499141532022,0.0815902312922662,0.287871732790037,0.0165927525983699,0.00920731056316191,0.217238829978184
"lh_MST",5650.44416610054,4351.37270720109,5283.86767578125,6379.3127122962,-4.07934039572011,0.640286782513494,0.370309986498045,0.0848590751057086,0.285532250352528,0.0164391108505104,0.00943246034338422,0.233427122235298
"lh_V6",6074.25087298769,5026.798865116,5595.35606060606,6720.49641927083,-4.45302725560737,0.605775098005931,0.41952526027506,0.0919023167454835,0.253738820101276,0.0164204457436096,0.00787812258314454,0.210535023248557
"lh_V2",6371.10760216346,7663.64026442308,5839.99915614984,6843.11858974359,-3.76044575486046,0.559176523868854,0.388080193599065,0.0833106820782026,0.285258119763472,0.017343266432484,0.00976090651387588,0.216246831417084
"lh_V3",6026.4693003509,6591.359730866,5522.40835623014,6687.56363794359,-3.72799564688072,0.567872531333212,0.39333011487783,0.0848331214007685,0.281967382436081,0.0179447478504252,0.0100631143589962,0.211861517469762
"lh_V4",5747.34276336985,5397.55761215367,5326.70840045103,6537.14373087146,-3.96224827373151,0.570598892329894,0.381189179174679,0.0848697912447231,0.288720638788853,0.0183977740288702,0.0104745987457098,0.216348018074773
"lh_V8",6035.16007915296,8182.52156147204,5551.38833778783,6568.71921258224,-4.23125221854762,0.576431584985633,0.372661160795312,0.082173212970558,0.295269079898533,0.0182122689132628,0.010788700543344,0.220895590750795
"lh_4",6129.06120968248,5066.57065468907,5340.12449995294,6681.03450324736,-5.02747461690481,0.566241325384163,0.281504143253866,0.123814848412472,0.291530451621396,0.0237352374611969,0.00920223057584231,0.27021308680136
"lh_3b",6278.98848783053,3877.0015131353,5538.37429708963,6809.91745900584,-5.04973046596234,0.560846316290426,0.307002324979384,0.125195178356799,0.277863844246655,0.0226242308208084,0.00903461574689372,0.258279805982506
"lh_FEF",6246.66790545428,4163.47334798177,5446.07819733796,6962.50152813947,-2.63956090325007,0.62706529211115,0.246468830991674,0.117970997122703,0.312634280986256,0.0236090840081926,0.00955086499797525,0.289765943531637
"lh_PEF",6226.52522786458,3888.43464152018,5340.90877278646,7066.21736653646,-1.57501285833617,0.627628249426683,0.231461523721615,0.112133438078066,0.330186390628417,0.0240518768162777,0.0115521748084575,0.290614597499371
"lh_55b",6067.84718048878,3910.14788035857,5244.3535531851,6857.30929487179,0.656341301993682,0.629522591065138,0.238463108356182,0.113966349034737,0.321369619705738,0.0243145658228642,0.0114043397017014,0.290482021295107
"lh_V3A",5768.03195672286,5765.01283665707,5319.1976511102,6502.96502364309,-4.44320850623281,0.574843001993079,0.426673522121028,0.0883517328061556,0.253807094144194,0.016923762710863,0.00881547006582351,0.205428419536666
"lh_RSC",6215.85596421186,6721.25169462316,5050.02277688419,6623.0454604205,2.19096943122499,0.578784557826379,0.290659898782478,0.100344113567296,0.306594908675727,0.0249543307787355,0.0141491659999113,0.248591702650575
"lh_POS2",6647.58854166667,6316.52515625,5808.44708333333,7749.21565104167,2.90267407645782,0.609030318260193,0.399698641697566,0.0985646189252535,0.256404789288839,0.0176222215592861,0.00811597134297093,0.219593749841054
"lh_V7",5936.44371202257,4269.58805338542,5409.09627278646,6948.66300455729,-4.39933416578505,0.591637432575226,0.414301839139726,0.093771115773254,0.254304745958911,0.0171435508463118,0.00855610421341326,0.211922634806898
"lh_IPS1",5984.1719771984,4045.76425099927,5376.9704987282,7080.77807049419,-3.60332272773565,0.608815981898197,0.392161893290143,0.101508692773276,0.258014469992283,0.0175876066435215,0.00819925453817082,0.222528081993724
"lh_FFC",5751.07954738451,7052.30135444973,5294.03431768003,6200.04363748302,-2.95777158244796,0.60678407938584,0.342960874023645,0.0823265124598275,0.307111132404079,0.0186107385822612,0.0120087495154661,0.236981987953186
"lh_V3B",5696.94257387908,4025.19891092052,5372.11442764946,6792.63387398098,-4.24876358198083,0.595318763152413,0.402166172214176,0.0895532959181329,0.267355841139089,0.01601065326806,0.00773243525105974,0.217181600954222
"lh_LO1",5333.61877441406,3499.40760498047,5163.72548828125,6341.84047851563,-4.156993663311,0.589900967478752,0.381475266814232,0.0862496379762888,0.282703870534897,0.018437672033906,0.0104706491343677,0.220662909001112
"lh_LO2",5241.03443545387,4777.02047293527,4913.36765252976,6090.39360119048,-4.01325566428048,0.587361259119851,0.37249691713424,0.0836562184350831,0.289442691065016,0.0195495828631378,0.0120652997866273,0.222789288276718
"lh_PIT",5649.11075846354,8262.88368055555,5196.64569769965,6251.00254991319,-3.90830788347456,0.577624258067873,0.372774837745561,0.0830383851296372,0.290929928421974,0.0199206006816692,0.0123642270660235,0.220972021420797
"lh_MT",5643.23759191176,3962.30250459559,5344.2328527114,6450.39815027574,-4.08953276802512,0.610920432735892,0.375695270650527,0.0850358776309911,0.283233367344912,0.0163316771607189,0.0091379550011719,0.230565845966339
"lh_A1",6740.49051920573,5603.02610270182,5813.26208496094,7125.90506998698,-3.7376515964667,0.59311804920435,0.324556281169256,0.0890238837649425,0.310745891183615,0.0170509649518256,0.00928859102229277,0.249334392448266
"lh_PSL",5826.40496020047,4268.35407300265,5165.10402233196,6235.3870780513,1.25027738381529,0.650226956268526,0.33668907520906,0.0991685394689722,0.286431960902124,0.0182110666174371,0.010336235727904,0.249163123234263
"lh_SFL",6031.62555930398,5469.90849165483,4920.30467862216,6711.53658558239,4.69605685797605,0.637350790067153,0.20226801796393,0.106940288028934,0.334543565728448,0.0268930253657428,0.0121100244027647,0.317245079170574
"lh_PCV",6357.1947265625,4846.95451931424,5618.28212890625,6879.65202907986,-0.824579428633054,0.616189870569441,0.353373678525289,0.108687758776877,0.265178149938583,0.0197394487344556,0.00747493492025468,0.245546029673682
"lh_STV",5764.52938771802,4577.02178529251,5192.88026889535,6198.48599881904,-0.5091345014787,0.646396914193797,0.343046652023182,0.0934630327446516,0.288479728754177,0.0181726089483777,0.011085789758972,0.245752184890037
